station,x,y,tokyo
五月台,-30801,-44298,26511
幕張,20325,-37748,26571
鴨居,-24163,-54235,26596
柿生,-30428,-45482,26618
新秋津,-30700,-24542,26651
北府中,-32725,-35347,26657
青梅街道,-32272,-29786,26661
江戸川台,6968,-11399,26735
柏,12384,-15303,26803
反町,-18875,-58319,26832
藤が丘,-27723,-50613,26846
萩山,-32244,-28698,26857
船橋日大前,20511,-30237,26965
分倍河原,-32991,-36725,26989
鶴瀬,-26545,-17089,27027
神奈川,-18687,-58641,27027
三ツ沢下町,-19793,-58058,27057
検見川浜,20445,-40230,27083
新小平,-32822,-29792,27200
西国分寺,-33243,-33231,27209
実籾,21246,-34717,27321
栗平,-31895,-43682,27325
久米川,-32615,-27729,27450
検見川,21136,-38527,27474
恋ヶ窪,-33428,-31961,27493
大宮,-18878,-10388,27509
三ツ沢上町,-20679,-58063,27521
青葉台,-28655,-50671,27636
若葉台,-32700,-42169,27643
せんげん台,-5299,-7104,27643
横浜,-19078,-59195,27700
八坂,-33064,-28241,27760
鷹の台,-33679,-30666,27902
小川,-33452,-29052,27961
黒川,-32847,-42859,27977
新高島,-18774,-59672,27983
中山,-26582,-53796,27997
西府,-34033,-36442,28010
新検見川,21732,-38604,28075
中河原,-34010,-37707,28093
八千代緑が丘,21699,-30046,28167
みなとみらい,-18232,-60148,28170
白井,19945,-23858,28203
鶴川,-31856,-46194,28212
運河,6561,-9497,28225
はるひ野,-33367,-42273,28314
東村山,-33229,-26568,28356
高島町,-19032,-60033,28422
柏の葉キャンパス,10760,-11829,28428
稲毛海岸,21784,-41076,28571
平沼橋,-19684,-59904,28611
北大宮,-18819,-9084,28644
所沢,-32532,-23606,28703
戸部,-19404,-60258,28792
馬車道,-17895,-60992,28793
十日市場,-28734,-52511,28799
大和田,-16451,-7823,28844
桜木町,-18377,-60877,28891
日本大通り,-17303,-61357,28891
大宮公園,-18071,-8426,28915
谷保,-34989,-35280,28919
国立,-35014,-33303,28975
北柏,13969,-13782,28998
田奈,-29814,-51441,29027
こどもの国,-31427,-48981,29080
元町・中華街,-16576,-61856,29082
武里,-5649,-5647,29092
七里,-15097,-7033,29135
鉄道博物館,-19448,-8824,29159
聖蹟桜ヶ丘,-34986,-38673,29178
関内,-17912,-61469,29236
ふじみ野,-28019,-15405,29244
恩田,-30934,-50359,29360
梅郷,5211,-7589,29400
八千代台,23296,-33102,29416
京成稲毛,22856,-40215,29445
京王永山,-34882,-40954,29470
西谷,-24337,-57873,29475
小田急永山,-34895,-40990,29491
西横浜,-20366,-60596,29545
